step,BAAFFM_T,CPI_YOY,UNRATE_L
1,4.42,2.1556780595369363,7.8
2,4.42,2.1556780595369363,7.8
3,4.42,2.1556780595369363,7.8
4,4.42,2.1556780595369363,7.8
5,4.42,2.1556780595369363,7.8
6,4.42,2.1556780595369363,7.8
7,4.42,2.1556780595369363,7.8
8,4.42,2.1556780595369363,7.8
9,4.42,2.1556780595369363,7.8
10,4.42,2.1556780595369363,7.8
11,4.42,2.1556780595369363,7.8
12,4.42,2.1556780595369363,7.8
