var,eps_used,comp_base,comp_up,comp_dn,comp_slope,BAAFFM_T_slope,CPI_YOY_slope,UNRATE_L_slope
FEDFUNDS,0.1,1.0,0.9957425343119523,0.9998675316541396,-0.020624986710936488,-0.12624114751815796,0.035068728029727936,-0.0015516579151153564
USGOVT,48.0,1.0,0.9995194644205426,1.0,-5.005578952680991e-06,0.0001519328604141871,2.256191025177638e-05,8.157826960086823e-05
BOGMBASE,0.002,1.0,0.9870619252439562,1.0,-3.234518689010951,-2.181604504585266,8.312676101922989,0.17892196774482727
NONBORRES,14.0,1.0,0.9995549419608154,0.9941243013171235,0.0001939514515604257,0.0007892123290470668,-0.0003291948565414974,-9.095030171530588e-06
