model,BAAFFM_T,CPI_YOY,UNRATE_L
Emulator (zero shocks),4.235830933226297,2.1739823362118735,6.956228320112192
Persistence,4.420000000000001,2.155678059536936,7.8
AR(12)-sklearn,3.869649296808516,2.332585420747334,7.247170400324115
VAR(6)-sklearn,3.854057966233922,2.6282042515229955,7.177403823972827
