doe_id,FEDFUNDS_shock,USGOVT_shock,BOGMBASE_shock,NONBORRES_shock,BAAFFM_T_delta_mean,CPI_YOY_delta_mean,UNRATE_L_delta_mean,BAAFFM_T_mean,CPI_YOY_mean,UNRATE_L_mean
0,0.1551473718136549,754.4831335544586,0.030641276668757197,-312.5803207978606,0.10496825454279879,0.3314710494956139,-0.13312322034527835,4.340799187769096,2.5054533857074874,6.823105099766914
1,0.8051866684108973,-755.2011385560036,-0.032115052081644536,7.1322377771139145,-1.0652413895030675,-0.10919497084124963,-0.05583729884254396,3.1705895437232297,2.064787365370624,6.900391021269648
2,2.1623398987576365,503.81182730197906,0.013038351293653244,-154.32998118922114,-0.9452005001973798,0.38092556911730036,-0.1101361479034777,3.2906304330289173,2.554907905329174,6.8460921722087145
3,-0.9664241531863809,-499.5492026209831,-0.023887889645993712,198.8805695436895,-0.3668564071871083,-0.2983422176527166,0.004381225735265559,3.868974526039189,1.875640118559157,6.960609545847458
4,-1.9060200108215213,287.07774952054024,-0.048120856005698445,284.20803071931005,0.2746260862626144,-0.35223131072506697,-0.16260218553223016,4.5104570194889115,1.8217510254868066,6.793626134579962
5,2.4769306713715196,-285.17977371811867,0.04041672628372908,-63.52390507236123,-0.9775053089298558,0.6110047680474597,0.02163147967860457,3.2583256242964413,2.7849871042593333,6.977859799790797
6,1.7405958771705627,1156.3525892794132,-0.007863965723663567,125.27021709829569,-1.0557858717093724,-0.10817743542249048,-0.15583365997570464,3.1800450615169247,2.065804900789383,6.8003946601364875
7,-0.15525678917765617,-1159.4352073967457,0.0032810213044285746,-254.58743311464787,0.1341107768287202,0.2561302822809326,0.049199645681671456,4.369941710055017,2.430112618492806,7.005427965793864
8,-0.7183001264929771,431.29762932658195,-0.00497289691120386,-2.875009085983038,-0.0046346210104193375,-0.29908647932658616,-0.2670209553056857,4.231196312215878,1.8748958568852874,6.6892073648065065
9,1.1329849921166897,-440.2268908917904,0.006635970901697874,311.10185412690043,-0.9613544405334049,0.45818858300712684,0.04000811216712563,3.274476492692892,2.6321709192190004,6.996236432279318
10,2.8989923717454076,710.3869043290615,-0.03893247153609991,-205.56225422769785,-1.0734210985763304,0.1379954848658569,-0.17241554892457156,3.1624098346499667,2.3119778210777304,6.783812771187621
11,-1.4699273398146033,-704.9608580768108,0.049971308466047054,163.7877680361271,0.6530108297891548,0.4645131400591054,0.0577035385784157,4.888841763015452,2.638495476270979,7.013931858690608
12,-1.1595944063737988,908.3503916859627,0.022647687606513506,56.544566713273525,0.6005489007042559,-0.10613320585032904,-0.19560738025770963,4.836379833930553,2.0678491303615445,6.7606209398544825
13,1.9636645233258605,-900.6008952856064,-0.014742433745414021,-274.5353691279888,-1.0091123866042837,0.48007098242231905,0.02860916878329789,3.2267185466220134,2.6540533186341926,6.98483748889549
14,0.8183128591626883,48.15758317708969,0.03395329732447863,258.5441709496081,-0.5810481789809461,0.4975248474275027,0.04541714580194789,3.654782754245351,2.6715071836393762,7.00164546591414
15,0.22136695869266987,-54.76343035697937,-0.029169228766113522,-126.53631241992116,-0.8349153204962012,-0.10377823758438165,-0.05210687712568074,3.400915612730096,2.070204098627492,6.904121442986511
16,0.42044803220778704,133.84961485862732,0.011804148089140654,106.96287974715233,-0.6660255860234607,0.3486744016425467,-0.13443731439425832,3.5698053472028364,2.5226567378544202,6.821791005717934
17,1.009843216277659,-137.78934627771378,-0.0009522313252091422,-240.16836378723383,-0.9845015265471475,0.5170372167514188,0.04226829748660421,3.2513294066791496,2.6910195529632923,6.998496617598796
18,1.7626762315630913,1007.8851968050003,0.04419893091544509,298.71254144236445,-0.9471477414279774,0.46321516132349405,-0.12870374370978954,3.2886831917983197,2.6371974975353676,6.827524576402403
19,-1.3492172844707966,-1007.4305221438408,-0.042727354727685456,-81.9166942499578,-0.5472281203122948,-0.22413743405466002,-0.03430096267856708,3.6886028129140023,1.9498449021572135,6.921927357433625
20,-1.6590107772499323,605.9951551258564,-0.016977868694812062,-138.75735523179173,-0.07742621910486136,-0.19087803300101824,-0.29246519737629395,4.158404714121436,1.9831043032108553,6.663763122735898
21,2.697475405409932,-603.2170571386814,0.021559758298099044,181.72679403796792,-0.9701112726390941,0.5697736759137744,0.030514969744348974,3.265719660587203,2.743756012125648,6.986743289856541
22,1.3250440610572696,350.56310668587685,-0.0267202184535563,-329.819542914629,-0.9953065877731335,0.4901712564516325,-0.1969892263537032,3.2405243454531636,2.664153592663506,6.759239093758489
23,-0.5197584563866258,-352.17937901616096,0.03442481923848391,22.79032077640295,0.10716012623833038,0.5239329353925282,0.04113373730090775,4.3429910594646275,2.6979152716044017,6.9973620574131
24,-0.3564930083230138,1052.2652439773083,-0.03632497731596232,230.41017344221473,-0.6915355662478775,-0.3462428434581537,-0.16253787429725008,3.5442953669784196,1.8277394927537198,6.793690445814942
25,1.5511828353628516,-1057.3869846761227,0.025283941160887488,-99.89800481125712,-0.974755992305226,0.6178849239949389,0.021977845296279774,3.261074940921071,2.7918672602068124,6.978206165408472
26,2.676412297412753,206.0616932809353,-0.02028226014226675,83.09741728007793,-1.0752664607515885,-0.13683371368700348,-0.2774054336485179,3.1605644724747086,2.03714862252487,6.678822886463674
27,-1.7148520406335592,-197.41377755999565,0.018621564563363793,-302.5839200243354,0.961508353001415,0.2606611655505695,0.15900452266661702,5.197339286227712,2.434643501762443,7.115232842778809
28,-0.7745749205350876,589.1811445355415,0.041303284280002114,-180.16296811401844,0.3176566831229808,0.44758321907281395,-0.06688102198854295,4.553487616349278,2.6215655552846875,6.889347298123649
29,2.3611294962465763,-582.8978508710861,-0.04608688177540898,134.41475424915552,-1.1133572486829455,-0.12087569186201241,-0.039234988881403865,3.1224736845433516,2.053106644349861,6.916993331230788
30,0.6164656179025769,854.2811617255211,0.0026081340387463584,-32.1625710465014,-0.982102085883461,-0.07945592979469573,-0.2714299062621768,3.253728847342836,2.094526406417178,6.684798413850015
31,-0.046770147047936916,-861.7675602436066,-0.010514442715793847,336.41569884493947,-0.4002393235406574,-0.011055537207765642,0.0027727249837559143,3.8355916096856397,2.162926799004108,6.959001045095948
32,-0.08946709148585796,487.25745007395744,-0.03997046714648605,37.41124393418431,-0.8238001087250235,-0.3413260769390949,-0.26858344075619556,3.4120308245012736,1.8326562592727786,6.687644879355997
33,0.5029309745877981,-478.6030076444149,0.047688204422593125,-342.88201788440347,-0.3640266398764438,0.6701945217256098,0.08361864260024365,3.8718042933498533,2.8441768579374833,7.039846962712436
