method,eval_id,feasible,violation,composite,shock_FEDFUNDS,shock_USGOVT,shock_BOGMBASE,shock_NONBORRES,delta_BAAFFM_T,delta_CPI_YOY,delta_UNRATE_L,loss_BAAFFM_T,loss_CPI_YOY,loss_UNRATE_L,w0,w1,w2
RandomSearch,0,1,0.0,0.0005814908669974478,2.7176625280527693,-337.38951998022446,0.028480541196997708,63.89472966058827,-0.9772194779618184,0.6227461012878748,0.024844335382696592,0.007282048585329104,0.8383462580530746,0.18738220967994668,,,
RandomSearch,1,1,0.0,0.47607646978694557,-0.5283571940153591,1014.5416474149943,0.03693315446785694,-95.10310159663402,0.010393623209526304,0.2782951499519646,-0.1928797683266268,0.9948951497566738,0.4938953067171644,0.030341894029376704,,,
RandomSearch,2,1,0.0,0.0005676513328537283,2.8658840731644695,-661.141606235685,0.03054958679281221,126.62736189659086,-0.979119230224788,0.6188184351786159,0.03960155916010866,0.005382296322359537,0.8344185919438157,0.20213943345735874,,,
RandomSearch,3,1,0.0,0.0005698377054041845,0.35530260612849984,-1126.0668706775768,0.03947982030827969,51.54276667027233,-0.6383166384261463,0.5882724165916766,0.036987824343477804,0.34618488812100123,0.8038725733568765,0.1995256986407279,,,
RandomSearch,4,1,0.0,0.5004421095579434,-0.04845871173411331,-348.77031068423275,0.015197301946040506,-107.08010277112686,0.001786206433539661,0.12495101394633323,0.04932941163160276,0.9862877329806872,0.34055117071153307,0.21186728592885284,,,
RandomSearch,5,1,0.0,0.7570916492511045,0.5378995407458498,-309.7543134952534,-0.04447971460527899,-174.71355976920972,-0.8542771847040376,0.12262510319709063,0.018360886190333936,0.13022434184310994,0.33822525996229047,0.18089876048758402,,,
RandomSearch,6,1,0.0,0.9833329843351041,2.204815191039268,763.570595100822,0.016732542623586893,-20.588686231341285,-0.9660473024665359,-0.0875778527439186,-0.24183224110971135,0.018454224080611592,0.12802230402128123,0.07929436681246127,,,
RandomSearch,7,0,2.0,0.985852459457508,2.849222463578224,816.6258095510418,-0.02549325387464443,47.28296257104239,-1.0878960488667562,-0.12416505140879464,-0.27584717197087993,0.10339452231960866,0.0914351053564052,0.11330929767362985,,,
RandomSearch,8,1,0.0,0.9716311228004614,2.779756236335235,685.4821550248055,-0.013064972026810985,-21.053433841060382,-1.0851940603002208,-0.09160805374960246,-0.2760199650611277,0.1006925337530733,0.12399210301559738,0.11348209076387761,,,
RandomSearch,9,1,0.0,0.6577719044473205,0.5891341364242444,964.5441640689583,0.02142955456140426,-71.30345354061097,-0.9196672047478134,0.30372763948552617,-0.23992146814250592,0.06483432179933413,0.519327796250726,0.07738359384525584,,,
RandomSearch,10,1,0.0,0.4159789751597924,0.3102067483438211,-978.4564654294526,-0.0007965042196754896,-189.68434532838086,-0.014928886746933046,0.2956747576539307,0.035653190670832835,0.9695726398002145,0.5112749144191305,0.19819106496808292,,,
RandomSearch,11,1,0.0,0.8236698219835564,-1.5343398602235385,-980.9356316046442,-0.028417454047284553,139.3884736816671,-0.3636345556456493,-0.29761820536871975,0.002799411019043241,0.6208669709014982,0.08201804860351991,0.16533728531629333,,,
RandomSearch,12,1,0.0,0.00044715074878969263,-1.1040838753957298,164.12917993005294,0.010261905868133157,326.3857987534642,0.9777728728345876,-0.09556398314154668,-0.13934434645218285,1.962274399381735,0.12003617362365315,0.02319352784506723,,,
RandomSearch,13,1,0.0,1.0,0.29099924062927585,658.8655468469005,-0.0465105679342674,101.22463307717663,-0.8500921892404536,-0.15253594922606295,-0.16726294853071,0.1344093373066939,0.06306420753913689,0.004725074233459914,,,
RandomSearch,14,0,1.0,0.0005482186781177996,2.9015166464080053,-1086.2812921633465,0.04076498213513692,-240.95514463841982,-0.9161270990504735,0.6300579413132481,0.05877495067160421,0.068374427496674,0.8456580980784479,0.2213128249688543,,,
RandomSearch,15,1,0.0,0.8763583443361954,1.3762435395283337,-1139.3329890013713,-0.04385344084985091,-255.71234066779826,-1.0482115457802599,-0.06659026885853958,0.0191390318793232,0.06371001923311237,0.14900988790666025,0.18167690617657328,,,
RandomSearch,16,1,0.0,0.9940427972390804,2.5066147913297767,678.9334529110479,0.01617883437051537,104.61978946047185,-0.9637587984325449,-0.10548559744798114,-0.12978007435765093,0.02074272811460265,0.1101145593172187,0.03275779993959915,,,
RandomSearch,17,1,0.0,0.5359279805897444,-0.5311952684666204,67.45268901999316,-0.0018131465170838287,315.7803917447443,0.17536684602289654,-0.1245447668228552,-0.02233849684123168,1.159868372570044,0.09105538994234463,0.1401993774560184,,,
RandomSearch,18,1,0.0,0.9987458087261268,0.27102048797515943,592.6163369485278,-0.014134690563640896,297.7974656497039,-0.7121892500912259,-0.11346153875331932,-0.16420439937107378,0.2723122764559216,0.10213861801188051,0.0016665250738236992,,,
RandomSearch,19,0,2.0,1.0,2.2618616044298765,1180.52573648083,-0.027295737136736643,259.26959051869346,-1.0418287646127569,-0.13906533955626044,-0.15746994099074296,0.057327238065609354,0.0765348172089394,0.005067933306507122,,,
RandomSearch,20,1,0.0,0.0002521696581365324,0.3849517914184384,22.517074081930787,0.004179809704652149,-285.71170840215416,0.14697420081104795,0.49385843422391584,0.1421576207499804,1.1314757273581955,0.7094585909891157,0.3046954950472305,,,
RandomSearch,21,0,1.0,1.0,2.4053888211970715,250.54807743439756,-0.039469348283198404,167.3399636484188,-1.0931374374096685,-0.13904490412959003,-0.172906789476861,0.108635910862521,0.0765552526356098,0.010368915179610916,,,
RandomSearch,22,1,0.0,0.0003207646998581647,-1.4328245889377342,-285.0041877749941,0.01695266462551584,-24.316359920964373,0.41093755116349584,0.12511352424414213,0.055943512541348106,1.3954390777106433,0.34071368100934196,0.2184813868385982,,,
RandomSearch,23,1,0.0,0.4745219843991346,-1.6751521891418917,293.4286783937407,-0.013327216647791587,-83.06273996935522,0.25271941053751856,-0.2959705346960473,-0.26665905671851764,1.237220937084666,0.08037037793084745,0.10412118242126756,,,
RandomSearch,24,1,0.0,0.00012513780091405273,-1.1852417207632386,-758.6104906799337,0.04930890048720073,73.11180819068102,0.6495838604847695,0.46516172873227024,0.042569719060108646,1.634085387031917,0.6807618854974701,0.20510759335735873,,,
RandomSearch,25,1,0.0,0.8079410046269333,0.9371241769327798,674.3420600590548,-0.011646115499271872,-242.08786184242587,-1.0063642769677346,0.15790512861540584,-0.18094710830954153,0.02186275042058705,0.3735052853806057,0.018409234012291442,,,
RandomSearch,26,1,0.0,0.23252488936943308,1.0358297628569328,-228.3964064632786,-0.00965441442521503,-288.51831100400494,-1.0007924155551593,0.47509154296831424,0.032033981511932375,0.01629088900801179,0.6906916997335141,0.19457185580918246,,,
RandomSearch,27,1,0.0,0.0004349873337638161,0.10452549724874771,-1075.3533213112557,0.04019569217261973,-87.60505015894438,-0.09057218290556168,0.5702329864560856,0.030135164878153375,0.8939293436415858,0.7858331432212854,0.19267303917540346,,,
RandomSearch,28,1,0.0,0.671918569730087,1.5765898976228434,211.99166312598686,-0.005985561733510614,-113.08409085525284,-1.0601077712033757,0.27584462316949576,-0.2883785474793248,0.07560624465622823,0.4914447799346956,0.1258406731820747,,,
RandomSearch,29,1,0.0,0.8884995042505938,-1.8402952977264664,371.02397163030605,-0.0400545421147227,-185.63853618643975,-0.358358282715284,-0.1285197721417961,-0.1113743530623621,0.6261432438318635,0.08708038462340373,0.05116352123488799,,,
RandomSearch,30,1,0.0,0.8402639617892305,2.794540585129166,-297.9887555268431,-0.013750381842431103,132.92330852033137,-1.0846553769897165,0.0896092314665351,-0.0377228106315437,0.10015385044256897,0.30520938823173493,0.12481506366570638,,,
RandomSearch,31,1,0.0,0.9253794415696103,-0.6512631916744132,-316.34464927599186,-0.019252226503419814,136.7268373180512,-0.6900195351363068,-0.29578027629437664,0.002213579697742496,0.29448199141084075,0.08018011952917681,0.16475145399499258,,,
RandomSearch,32,1,0.0,0.00012367584833978987,-1.6135841445222496,-285.8171236775273,0.04972630420077412,98.66626563410222,0.6642069138426727,0.46419109605224573,0.056788107079260186,1.6487084403898202,0.6797912528174456,0.21932598137651027,,,
RandomSearch,33,1,0.0,0.9694708087737173,0.3757512532624423,-505.93045456040966,-0.04773238937596075,286.645605694706,-0.7639023601530295,-0.12860168557475316,-0.034436365596569374,0.22059916639411803,0.08699847119044668,0.1281015087006807,,,
RandomSearch,34,1,0.0,0.9867690286474977,2.6040139674197453,1148.4375022841286,-0.00205215824592013,65.30418113349953,-1.0331793118034178,-0.1247737494994352,-0.27500005976465847,0.04867778525627031,0.09082640726576463,0.11246218546740838,,,
RandomSearch,35,1,0.0,0.6517057649716893,-0.5550139876873739,788.1548814983978,0.008265462194436954,-142.3291527901709,0.044288902754493265,-0.0745778875505465,-0.13819834815792564,1.0287904293016408,0.14102226921465333,0.02433952613932444,,,
