method,eval_id,feasible,violation,composite,shock_FEDFUNDS,shock_USGOVT,shock_BOGMBASE,shock_NONBORRES,delta_BAAFFM_T,delta_CPI_YOY,delta_UNRATE_L,loss_BAAFFM_T,loss_CPI_YOY,loss_UNRATE_L
RandomSearch,23,1,0.0,0.4745219843991346,-1.6751521891418917,293.4286783937407,-0.013327216647791587,-83.06273996935522,0.25271941053751856,-0.2959705346960473,-0.26665905671851764,1.237220937084666,0.08037037793084745,0.10412118242126756
RandomSearch,24,1,0.0,0.00012513780091405273,-1.1852417207632386,-758.6104906799337,0.04930890048720073,73.11180819068102,0.6495838604847695,0.46516172873227024,0.042569719060108646,1.634085387031917,0.6807618854974701,0.20510759335735873
RandomSearch,25,1,0.0,0.8079410046269333,0.9371241769327798,674.3420600590548,-0.011646115499271872,-242.08786184242587,-1.0063642769677346,0.15790512861540584,-0.18094710830954153,0.02186275042058705,0.3735052853806057,0.018409234012291442
RandomSearch,26,1,0.0,0.23252488936943308,1.0358297628569328,-228.3964064632786,-0.00965441442521503,-288.51831100400494,-1.0007924155551593,0.47509154296831424,0.032033981511932375,0.01629088900801179,0.6906916997335141,0.19457185580918246
RandomSearch,27,1,0.0,0.0004349873337638161,0.10452549724874771,-1075.3533213112557,0.04019569217261973,-87.60505015894438,-0.09057218290556168,0.5702329864560856,0.030135164878153375,0.8939293436415858,0.7858331432212854,0.19267303917540346
RandomSearch,28,1,0.0,0.671918569730087,1.5765898976228434,211.99166312598686,-0.005985561733510614,-113.08409085525284,-1.0601077712033757,0.27584462316949576,-0.2883785474793248,0.07560624465622823,0.4914447799346956,0.1258406731820747
RandomSearch,29,1,0.0,0.8884995042505938,-1.8402952977264664,371.02397163030605,-0.0400545421147227,-185.63853618643975,-0.358358282715284,-0.1285197721417961,-0.1113743530623621,0.6261432438318635,0.08708038462340373,0.05116352123488799
RandomSearch,30,1,0.0,0.8402639617892305,2.794540585129166,-297.9887555268431,-0.013750381842431103,132.92330852033137,-1.0846553769897165,0.0896092314665351,-0.0377228106315437,0.10015385044256897,0.30520938823173493,0.12481506366570638
RandomSearch,31,1,0.0,0.9253794415696103,-0.6512631916744132,-316.34464927599186,-0.019252226503419814,136.7268373180512,-0.6900195351363068,-0.29578027629437664,0.002213579697742496,0.29448199141084075,0.08018011952917681,0.16475145399499258
RandomSearch,32,1,0.0,0.00012367584833978987,-1.6135841445222496,-285.8171236775273,0.04972630420077412,98.66626563410222,0.6642069138426727,0.46419109605224573,0.056788107079260186,1.6487084403898202,0.6797912528174456,0.21932598137651027
RandomSearch,33,1,0.0,0.9694708087737173,0.3757512532624423,-505.93045456040966,-0.04773238937596075,286.645605694706,-0.7639023601530295,-0.12860168557475316,-0.034436365596569374,0.22059916639411803,0.08699847119044668,0.1281015087006807
RandomSearch,34,1,0.0,0.9867690286474977,2.6040139674197453,1148.4375022841286,-0.00205215824592013,65.30418113349953,-1.0331793118034178,-0.1247737494994352,-0.27500005976465847,0.04867778525627031,0.09082640726576463,0.11246218546740838
RandomSearch,35,1,0.0,0.6517057649716893,-0.5550139876873739,788.1548814983978,0.008265462194436954,-142.3291527901709,0.044288902754493265,-0.0745778875505465,-0.13819834815792564,1.0287904293016408,0.14102226921465333,0.02433952613932444
RandomSearch,36,1,0.0,0.44320712865974254,-0.5247043344538576,-345.0491274178744,0.017069542605646693,188.69895467774438,0.09933304940971777,0.12641094486936133,0.056616031988799165,1.0838345759568653,0.34201110163456117,0.21915390628604925
RandomSearch,37,1,0.0,0.0003461132230257992,-1.4813485492068756,1029.325718862783,0.02531299653305079,213.41325864547275,0.6262730941613164,0.20536685068415617,-0.12186003965884762,1.6107746207084639,0.420967007449356,0.040677834638402466
RandomSearch,38,1,0.0,0.00015573567880383196,-1.0123240840855579,-857.1026730082345,0.023421283235860457,307.27554451741435,0.9648291206806778,0.44189275413432405,0.055079585874252324,1.9493306472278253,0.6574929108995239,0.2176174601715024
RandomSearch,39,1,0.0,0.9603904071724207,-0.26635317052181295,-960.0011459934325,-0.017345117117232946,236.42198686838435,-0.7187980982228543,-0.2969942665712133,-0.026516793253104076,0.26570342832429317,0.08139410980601347,0.136021081044146
RandomSearch,40,0,1.0,0.9885200626988555,2.118755671836274,-637.548526383002,-0.034510476829483744,-3.159364250883243,-1.124119908914099,-0.10874726613299313,-0.05543760798797681,0.13961838236695145,0.10685289063220671,0.10710026630927327
RandomSearch,41,1,0.0,0.5604119027478887,-0.39733080746315297,841.5868357052109,-0.0035024785173712533,-191.26242913605515,0.06966859656129998,0.09063090262640605,-0.0878232361242226,1.0541701231084475,0.3062310593916059,0.07471463817302748
RandomSearch,42,1,0.0,0.4460778241164629,0.15236387608426183,-665.7282715871613,0.02038933327690934,330.4181611855098,-0.06338991320171772,0.2659545134791781,0.04860980600811704,0.9211116133454298,0.4815546702443779,0.21114768030536712
RandomSearch,43,1,0.0,0.0005840824950678697,1.0422153350626497,-629.8381899976252,0.03120563145298587,-94.60829010236341,-0.9755163941287899,0.6217796043489621,0.021975352929929137,0.008985132418357633,0.8373797611141619,0.18451322722717922
RandomSearch,44,1,0.0,0.4488658180742555,-1.5592337650576304,-831.089209974841,-0.012911855346519,234.39967221478435,0.2324432687674598,-0.012340650783309481,-0.02386355498980297,1.2169447953146073,0.20325950598189035,0.1386743193074471
RandomSearch,45,1,0.0,0.8818260662728384,-0.8666758594844819,677.9548462151374,-0.04176371335954209,237.74206716308743,-0.38335586801612065,-0.34830516153123314,-0.16223243164494772,0.6011456585310269,0.1327050047660333,0.0003054426523023679
RandomSearch,46,1,0.0,0.757505509260418,1.5749342920251341,-988.1533282743733,-0.045762178932977064,-173.9730077194582,-1.0785827924248435,0.12480616283375578,0.016586370219489943,0.09408126587769594,0.3404063195989556,0.17912424451674003
RandomSearch,47,1,0.0,0.00045103182972334495,-1.1038646496746796,353.6880740380709,-0.002896066794160282,51.141203430560665,0.47327923769460334,-0.3130170292017074,-0.26567601927307205,1.4577807642417508,0.09741687243650754,0.10313814497582197
RandomSearch,48,0,1.0,0.982137131966158,-0.5740750191452979,1148.082345073291,-0.039787544299472524,114.05673055891725,-0.6927199976753813,-0.3456001149441066,-0.16436176423128313,0.2917815288717662,0.12999995817890675,0.0018238899340330406
