method,eval_id,feasible,violation,composite,shock_FEDFUNDS,shock_USGOVT,shock_BOGMBASE,shock_NONBORRES,delta_BAAFFM_T,delta_CPI_YOY,delta_UNRATE_L,loss_BAAFFM_T,loss_CPI_YOY,loss_UNRATE_L,w0,w1,w2
RandomSearch,13,1,0.0,1.0,0.29099924062927585,658.8655468469005,-0.0465105679342674,101.22463307717663,-0.8500921892404536,-0.15253594922606295,-0.16726294853071,0.1344093373066939,0.06306420753913689,0.004725074233459914,,,
WeightedSumMultiStart,5,1,0.0,1.0,0.3263475417058993,273.51006168498265,-0.04672858847425785,100.44415080226621,-0.8500313594399165,-0.15264721354144495,-0.16854552923905164,0.13447016710723103,0.06295294322375489,0.006007654941801555,0.44746476224032933,0.1404205164517126,0.41211472130795795
DOE_only,62,1,0.0,1.0,0.7039170125499368,530.7348109781742,-0.018187516927719118,317.8391885012388,-0.8843301118128304,-0.1392766058055166,-0.16990687013668104,0.10017141473431712,0.07632355095968324,0.0073689958394309585,,,
Surrogate+LBFGSB,0,1,0.0,0.9888157534161419,1.005575058716044,499.37418671050915,-0.005896716580220682,284.20802805706063,-1.0179222995337733,-0.09670132625784555,-0.1549474017875676,0.033420772986625824,0.11889883050735428,0.007590472509682478,,,
