method,n_evals,feasible_rate,best_composite,best_violation,best_shock_FEDFUNDS,best_shock_USGOVT,best_shock_BOGMBASE,best_shock_NONBORRES,best_delta_BAAFFM_T,best_delta_CPI_YOY,best_delta_UNRATE_L
Surrogate+LBFGSB,1,1.0,0.9888157534161419,0.0,1.005575058716044,499.37418671050915,-0.005896716580220682,284.20802805706063,-1.0179222995337733,-0.09670132625784555,-0.1549474017875676
DOE_only,257,0.8404669260700389,1.0,0.0,0.7039170125499368,530.7348109781742,-0.018187516927719118,317.8391885012388,-0.8843301118128304,-0.1392766058055166,-0.16990687013668104
RandomSearch,256,0.81640625,1.0,0.0,0.29099924062927585,658.8655468469005,-0.0465105679342674,101.22463307717663,-0.8500921892404536,-0.15253594922606295,-0.16726294853071
WeightedSumMultiStart,12,1.0,1.0,0.0,0.3263475417058993,273.51006168498265,-0.04672858847425785,100.44415080226621,-0.8500313594399165,-0.15264721354144495,-0.16854552923905164
